"tgav","year","model"
15.0351439671312,2041,"CAMS-CSM1-0"
15.140650351007,2042,"CAMS-CSM1-0"
15.2193331749963,2043,"CAMS-CSM1-0"
15.0931876412893,2044,"CAMS-CSM1-0"
15.1406672034309,2045,"CAMS-CSM1-0"
15.045207096008,2046,"CAMS-CSM1-0"
15.3591693106346,2047,"CAMS-CSM1-0"
15.2864209122997,2048,"CAMS-CSM1-0"
15.3039382877902,2049,"CAMS-CSM1-0"
15.2470963116788,2050,"CAMS-CSM1-0"
15.5310157077321,2051,"CAMS-CSM1-0"
15.5855139192849,2052,"CAMS-CSM1-0"
15.4662417934533,2053,"CAMS-CSM1-0"
15.449967427711,2054,"CAMS-CSM1-0"
15.4848088468465,2055,"CAMS-CSM1-0"
15.3979869067725,2056,"CAMS-CSM1-0"
15.4549773205035,2057,"CAMS-CSM1-0"
15.5469790059548,2058,"CAMS-CSM1-0"
15.6053925593894,2059,"CAMS-CSM1-0"
15.4840228586403,2060,"CAMS-CSM1-0"
15.6681229935977,2061,"CAMS-CSM1-0"
15.6393239865821,2062,"CAMS-CSM1-0"
15.5945799397535,2063,"CAMS-CSM1-0"
15.7394305593908,2064,"CAMS-CSM1-0"
15.6674098699001,2065,"CAMS-CSM1-0"
15.7071294056653,2066,"CAMS-CSM1-0"
15.6638300896621,2067,"CAMS-CSM1-0"
15.616461604599,2068,"CAMS-CSM1-0"
15.7265690034366,2069,"CAMS-CSM1-0"
15.7982572086261,2070,"CAMS-CSM1-0"
15.8055471965336,2071,"CAMS-CSM1-0"
15.9050675450669,2072,"CAMS-CSM1-0"
15.8251460592993,2073,"CAMS-CSM1-0"
15.8607504345285,2074,"CAMS-CSM1-0"
15.8321300592969,2075,"CAMS-CSM1-0"
15.9171152368606,2076,"CAMS-CSM1-0"
15.6914445122944,2077,"CAMS-CSM1-0"
15.8434995577251,2078,"CAMS-CSM1-0"
15.6291703250718,2079,"CAMS-CSM1-0"
15.7991707997547,2080,"CAMS-CSM1-0"
15.6979935330092,2081,"CAMS-CSM1-0"
15.9728272832569,2082,"CAMS-CSM1-0"
15.743363103341,2083,"CAMS-CSM1-0"
15.6684058035698,2084,"CAMS-CSM1-0"
15.6114474721112,2085,"CAMS-CSM1-0"
15.9055227504023,2086,"CAMS-CSM1-0"
16.033825298629,2087,"CAMS-CSM1-0"
15.7373028430077,2088,"CAMS-CSM1-0"
15.8330850867595,2089,"CAMS-CSM1-0"
15.8559989128813,2090,"CAMS-CSM1-0"
15.7435896836133,2091,"CAMS-CSM1-0"
15.8769374637406,2092,"CAMS-CSM1-0"
15.8556219153691,2093,"CAMS-CSM1-0"
15.6833759160183,2094,"CAMS-CSM1-0"
15.8110365626115,2095,"CAMS-CSM1-0"
15.8945424074903,2096,"CAMS-CSM1-0"
16.0239289782748,2097,"CAMS-CSM1-0"
15.8824629991914,2098,"CAMS-CSM1-0"
15.7839405748403,2099,"CAMS-CSM1-0"
15.0918390809229,2015,"CanESM5"
15.1237811450096,2016,"CanESM5"
15.2786515637811,2017,"CanESM5"
15.179128912431,2018,"CanESM5"
15.1861864411382,2019,"CanESM5"
15.5073710066423,2020,"CanESM5"
15.4055919079122,2021,"CanESM5"
15.4191488386717,2022,"CanESM5"
15.5140244908109,2023,"CanESM5"
15.5988023106043,2024,"CanESM5"
15.8349768521622,2025,"CanESM5"
15.97533763772,2026,"CanESM5"
15.8929426434747,2027,"CanESM5"
15.8400814100661,2028,"CanESM5"
15.6768815888507,2029,"CanESM5"
15.6986120217659,2030,"CanESM5"
15.833546698607,2031,"CanESM5"
